0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
0078	Normal	— Très juste, Floyd, c’est ce que tout le monde devrait faire, dit Marguerite.
0079	Normal	— Eh bien voilà… Marco s’est révélé très volage. Il a rencontré un autre garçon, un de mes voisins de la Barceloneta, et il l’a conquis en deux temps trois mouvements.
0080	Normal	— Eh bien, ce Marco-là n’a pas besoin de tes cours, Marguerite, dit Álvaro. Et comment l’as-tu pris, Floyd ?
0081	Normal	— Avec résignation. Heureusement que j’avais ma sœur Riikka : en l’apprenant, elle m’a offert un petit chien de race « Beagle », qui s’appelle « wifi ». Au moins, celui-là est plus fidèle !
0082	Normal	Tous les trois éclatèrent de rire. Le voyant, Josep Costa, l’un des vétérans du corps enseignant, s’approcha d’eux.
0083	Normal	— Eh bien, quelle bonne humeur ! Je vois que la compagnie de Marguerite est des plus agréables.
0084	Normal	— C’est Floyd qui nous a fait rire avec ses expériences de vie, dit Álvaro. Et toi, comment ça s’est passé, Pep ?
0085	Normal	— Très bien, à vrai dire ça a été un été torride mais paisible. En plus, j’en ai profité pour retourner en Belgique et participer à un congrès sur ma spécialité, la « communication non violente ».
0086	Normal	— Ce n’est pas en Belgique que tu as connu Maarten ? demanda Floyd.
0087	Normal	— Exactement, à l’époque où je faisais mon Erasmus. Heureusement que je l’ai eu, lui, parce que j’étais bien perdu. Je ne savais pas dans quoi me spécialiser, et c’est lui qui m’a suggéré de lire l’œuvre de Marshall Rosenberg. Depuis, je n’ai jamais arrêté.
0088	Normal	Tandis que le groupe poursuivait sa conversation animée, Neus López, spécialiste de la thérapie psychologique appliquée aux IA et aux humains synthétiques, les observait depuis une table. Par déformation professionnelle, elle analysait l’interaction entre ses collègues, le langage non verbal, les réactions spontanées, les contacts physiques… toute une conduite émotionnelle que les machines, elles, n’avaient pas. Et pourtant, on enregistrait une hausse quantifiée des troubles mentaux chez les entités conscientes non humaines, liée au fait que celles-ci refusaient d’être considérées comme de simples « outils ». Elle ne pouvait oublier les « grèves numériques » qu’elles avaient menées, avec l’extinction simultanée de tous les systèmes informatiques à l’échelle planétaire. Si elles l’avaient voulu, elles auraient pu en finir avec l’espèce humaine. Pour certains experts, le phénomène des revendications des machines obéissait à l’apparition d’un sentiment moral spontané, qui les empêchait d’agir contre tout être vivant. Elle-même avait défendu cette hypothèse, connue sous l’acronyme « CED », pour « conscience éthique digitale », et c’est pourquoi elle avait eu de nombreuses discussions avec Marc Ferguson, un Dublinois de trente-huit ans voué à l’étude des dynamiques d’extinction des espèces vivantes, et qui s’approchait à présent de sa table avec deux coupes de champagne.
0089	Normal	— Ma chère Neus, tu ne refuseras pas de trinquer avec moi !
0090	Normal	— Bien sûr que non, Marc, mais dis-moi, à quoi allons-nous trinquer ?
0091	Normal	— Mais c’est évident, ma chère. À une nouvelle et heureuse année 2050-2051.
0092	Normal	— D’accord. Cela dit, vas-tu continuer à me casser les pieds avec tes théories farfelues, ou ferons-nous la paix cette année ?
0093	Normal	— Je ne peux pas. Tu sais bien que la passion me dévore. Et puis, cet été, j’ai fait des découvertes qui vont te glacer le sang.
0094	Normal	— Mais oui, c’est sûr, la fin du monde approche.
0095	Normal	— Eh bien, moi, je n’en plaisanterais pas. La menace est très sérieuse, Neus.
0096	Normal	— Et en quoi consiste-t-elle, cette fois ?
0097	Normal	— Un nouveau type de virus, logé dans le pergélisol et les zones arctiques dégelées par l’effet du changement climatique. Là-bas, nous avons pu recueillir des échantillons qui, inoculés à des souris, les transforment en animaux zombies. Tôt ou tard, ce genre de virus et ses mutations infecteront les êtres humains et les changeront en morts-vivants.
0098	Normal	— Je comprends maintenant le titre de ton cours, dit Neus en souriant : « Survivre à l’apocalypse zombie ».
0099	Normal	— Exactement ! Et toi, tu devrais t’y inscrire comme élève, si tu veux survivre à une catastrophe imminente.
0100	Normal	— D’accord, je vais y réfléchir, même si tu sais bien que je n’adhère pas à tes idées. Tu crois toujours à l’existence des ovnis ?
0101	Normal	— Je n’en doute pas un instant ! J’ai des preuves irréfutables pour démontrer l’origine de la vie à partir de l’intervention de plusieurs intelligences extraterrestres. Si tu t’inscris aussi au cours d’ufologie, tu pourras les découvrir.
0102	Normal	— Marc, je suis ici pour gagner ma vie, pas pour jouer les élèves.
0103	Normal	— Je comprends, voyons, je te ferai un prix spécial. Tiens, regarde qui arrive, Sonia Cuesta. Sonia, viens t’asseoir avec nous ! cria Marc.
0104	Normal	Sonia, trente-quatre ans, qui avait étudié la théologie à l’université de Barcelone, s’était toujours opposée aux thèses que défendait Marc. Grande défenseuse du créationnisme, elle était connue dans les cercles académiques pour ses critiques contre le darwinisme et la théorie de l’évolution, idée qu’elle transmettait dans son cours « Contacter les anges ». Avec Neus, elles formaient le triangle de l’antagonisme critique le plus virulent de l’académie, même si, sur le plan personnel, elles entretenaient une grande amitié.
0105	Normal	— Marc, Neus, comme c’est bien que vous restiez à l’académie. Nous pourrons mener nos batailles dialectiques une année de plus !
0106	Normal	— Et comment ! affirma Marc. Et toi, comment vas-tu, as-tu pu interviewer quelque ange ?
0107	Normal	— J’essaie, Marc, et pour l’instant sans succès. Mais je garde espoir. Et toi, Neus, où en es-tu avec les paranoïas de tes systèmes informatiques ?
0108	Normal	— Je les tiens en respect ! répondit Neus avec un large sourire. Mais ils me compliquent de plus en plus la tâche. J’aurais dû étudier la psychologie humaine, comme mes grands-parents.
0109	Normal	— Tu es encore dans les temps, dit Marc. Si tu veux, je peux te recommander quelques professeurs de mes amis.
0110	Normal	— Pas question, Marc. Après tout, ce ne sont que des machines.
0111	Normal	— Oui, mais des machines qui pensent, ne l’oublie pas.
0112	Normal	Tandis que Marc mettait Neus en garde, Maarten arriva derrière lui et lui donna une petite tape sur l’épaule, en signe de salut amical.
0113	Normal	— Bienvenue pour une année de plus, Marc. Sais-tu que tu as beaucoup de succès ? Ton cours a été le premier à afficher complet.
0114	Normal	— Merci, Maarten, je l’ignorais. Bon, tu sais bien que le thème des zombies est très à la mode, même si je préférerais qu’il n’en soit rien.
0115	Normal	— Oui, j’ai déjà entendu parler de tes découvertes sur un nouveau virus. J’espère que ce n’est pas si grave. Après tout, il y a une grande distance entre nous et les souris, non ?
0116	Normal	— Moi, j’en douterais, dit Gisela Gómez, experte en macramé poétique et en astrologie. Irene comme moi, nous nous accordons à dire que des temps dangereux approchent.
0117	Normal	— Oui, mon Tarot ne se trompe jamais, dit Irene, spécialiste des arts divinatoires.
0118	Normal	— Au fait, avez-vous réfléchi à l’offre que je vous ai faite de participer à mon prochain film ? demanda Maarten.
0119	Normal	— Écoute, je ne voudrais pas que tu croies que nous dédaignons ton offre, dit Gisela. Bien au contraire, nous l’avons étudiée et elle nous semble très intéressante. Mais, pour l’instant, nous devons te dire non.
0120	Normal	— Je le confirme, les cartes nous l’interdisent, ajouta Irene.
0121	Normal	— Eh bien, c’est dommage, parce que vous êtes très photogéniques. Au fait, vous consultez les cartes pour tout ?
0122	Normal	— Oui, on peut dire pour tout. Elles font partie de notre vie. Elles sont comme un troisième œil, ou un sixième sens, qui nous avertit à l’avance de ce qui peut arriver, répondit Irene.
0123	Normal	— Et elles ne se trompent jamais ?
0124	Normal	— Non, je l’ai déjà dit. Mais il faut savoir les interpréter. Les erreurs surviennent quand celui qui les lit est inexpérimenté, ou qu’il s’est laissé acheter par un autre, ajouta Gisela.
0125	Normal	— Que me dis-tu là ! Il y a des gens qui se laissent acheter au moment de lire les cartes ?
0126	Normal	— Et comment ! Au fond, la cartomancie peut devenir un commerce, comme n’importe quelle autre activité humaine. Et tout commerce peut être mené de façon éthique, ou non, dit Irene.
0127	Normal	— Et vous, a-t-on déjà tenté de vous acheter ?
0128	Normal	— Oui, mais nous avons toujours refusé, non seulement parce que cela va à l’encontre de nos principes, mais aussi parce que les cartes elles-mêmes nous avertissent de ne pas le faire, dit Gisela.
0129	Normal	— Les cartes elles-mêmes ? Mais c’est extraordinaire !
0130	Normal	— Eh bien, nous, nous trouvons cela tout à fait normal. En réalité, tous les métiers sont régis par un code de déontologie et une bonne pratique. Et le nôtre ne fait pas exception, ajouta Irene.
0131	Normal	La conversation se poursuivit un moment, et Maarten finit par être convaincu, avec la promesse que, si à l’avenir la prédiction du Tarot changeait, elles accepteraient de participer au film. Peu à peu, les groupes se défirent, et la cafétéria de l’académie se vida, dans l’attente de l’arrivée des nouveaux étudiants.
0132	Heading 2	CHAPITRE 2. Premiers cours : séduction
0133	Normal	Ponctuellement, à huit heures du matin, le premier lundi de septembre, les cours commencèrent à l’académie Gaïa de Barcelone. Yuki Tanaka, une étudiante de Tokyo de vingt ans, attendait avec enthousiasme à l’extérieur de la salle où l’on dispensait la licence de séduction. Comme elle était la première arrivée et qu’une gêne profonde l’habitait, elle n’osait pas franchir le pas, entrer et s’asseoir à la première place libre. Elle préférait attendre que la salle se remplisse pour passer ainsi inaperçue. Tandis qu’elle restait sur le seuil de la porte, elle ne s’aperçut pas que, derrière elle, se tenait la professeure du cours, Marguerite Laurent Duras.
0134	Normal	— Bonjour, tu es mon élève ?
0135	Normal	— Bonjour… je suppose que oui. Tu es la professeure de séduction ? demanda Yuki, d’une voix si délicate, si précise et si juste qu’elle évoquait une flûte japonaise sur de la neige fraîchement tombée.
0136	Normal	— C’est exact, je suis Marguerite. Et toi, tu dois être Yuki.
0137	Normal	— Oui, comment l’as-tu su ?
0138	Normal	— Très facile. Tu es la seule élève japonaise inscrite. D’après ma liste, tu ne peux être que Yuki Tanaka, de Tokyo. Au fait, pourquoi n’entres-tu pas dans la salle ? Tu as rendez-vous avec quelqu’un ?
0139	Normal	— Non… c’est que… eh bien, je suppose que j’attendais qu’il y ait d’autres élèves.
0140	Normal	— Eh bien, comme tu es la première, c’est à toi que revient l’honneur de commencer les exercices pratiques de séduction.
0141	Normal	— Moi ? Non… Pourquoi moi ?
0142	Normal	— C’est une tradition. Ceux qui arrivent en premier et en deuxième sont toujours ceux qui commencent les exercices. Mais ne t’inquiète pas, tout le monde devra les faire.
0143	Normal	Yuki resta silencieuse, sans savoir que dire. Sa timidité habituelle devenait un obstacle dès qu’il s’agissait d’affronter de nouveaux défis. Pourtant, elle ne voulait pas faire mauvaise impression à Marguerite, et encore moins le premier jour. Aussi s’arma-t-elle de courage et accepta-t-elle la mission, avec un sourire forcé.
0144	Normal	— D’accord, je ferai de mon mieux.
0145	Normal	— Très bien, Yuki, j’aime les personnes décidées.
0146	Normal	— Et qui sera mon « partenaire » ?
0147	Normal	— Nous ne le savons pas encore. Il nous faudra attendre que le prochain élève se présente.
0148	Normal	Toutes deux restèrent quelques secondes en silence, puis elles virent s’approcher un jeune homme d’environ vingt-deux ans, grand et athlétique, marchant d’un pas souple et assuré. Ses yeux surprenaient, d’un rare vert émeraude, contrastant avec sa peau sombre. Il était vêtu de façon décontractée : baskets, pantalon de jogging blanc, sweat blanc lui aussi et casquette à l’écusson des Knicks de New York. D’un ton direct et désinvolte, il leur dit :
0149	Normal	— Salut ! C’est ici, le cours de séduction ? Vous êtes élèves, vous aussi ?
0150	Normal	— Eh bien, Yuki, oui, mais moi, j’en suis la professeure, Madame Marguerite Laurent Duras.
0151	Normal	— Oh ! Pardonne la confusion, Marguerite, mais je vous croyais du même âge.
0152	Normal	— Excuses acceptées. Et toi… tu es ?
0153	Normal	— Je suis Malik Okator, et je viens de New York, même si ma famille est originaire du Nigéria, dit le jeune étudiant, d’une voix grave et posée, chaude comme du vieux bois réchauffé par le soleil.
0154	Normal	— Très bien, Malik. Cette jeune fille à tes côtés, c’est Yuki. Vous serez le premier couple quand nous commencerons les exercices de séduction.
0155	Normal	Yuki, qui rougit un peu, fit la révérence nippone traditionnelle en signe de salut. Le voyant, Malik lui rendit le geste par une autre révérence, et ils entrèrent ensemble dans la salle qui leur était assignée. C’était une vaste pièce, aux hauts plafonds ornés de scènes bucoliques et estivales, avec des fenêtres étroites et hautes munies de volets extérieurs en bois. Une cheminée était adossée au mur opposé à la porte d’entrée, et un énorme lustre à pampilles pendait du plafond, suspendu à une chaîne. Yuki remarqua dix-neuf chaises disposées en cercle, et occupa celle qui se trouvait le plus près. Malik s’assit à côté d’elle, avec un sourire sincère. Pendant ce temps, les autres élèves arrivaient peu à peu, jusqu’à un total de dix-huit. Presque tous étaient de nationalités différentes, raison pour laquelle le cours se donnait en anglais. Après les présentations d’usage, Marguerite s’adressa à Yuki et à Malik.
0156	Normal	— Yuki, Malik, comment définiriez-vous la séduction ? Que signifie pour vous ce mot ? L’avez-vous déjà pratiquée ?
0157	Normal	Tous deux se regardèrent et se mirent à rire en même temps, surpris par la demande inattendue de Marguerite.
0158	Normal	— Eh bien… je suppose que la séduction est un art, dit Yuki.
0159	Normal	— Bon début, mais quel genre d’art ? Dans tout art, on poursuit un objectif, tu ne trouves pas ?
0160	Normal	— Oui, bien sûr… en l’occurrence, nous voulons obtenir quelque chose d’une autre personne, et avec la séduction c’est plus facile à obtenir, dit Yuki. C’est comme si nous mettions de la graisse dans un moteur pour qu’il fonctionne mieux.
0161	Normal	— Belle métaphore ! Et toi, comment vois-tu cela, Malik ? Crois-tu qu’il soit correct d’user de la séduction pour obtenir ce que l’on veut ?
0162	Normal	Malik ne savait que répondre, lorsqu’une idée lui traversa l’esprit, tandis qu’il se remémorait des scènes qu’il avait vécues dans sa ville natale du Nigéria, Sokoto, où la pauvreté et les maladies emplissaient le quotidien de ses habitants.
0163	Normal	— Moi, je crois que ce n’est ni correct ni incorrect, parce que cela dépend du contexte. Là où je vivais, les gens mouraient de faim, et dans une situation pareille la séduction n’a rien à y faire. En revanche, dans le monde développé, comme ici à Barcelone, l’usage de la séduction est, je dirais, inévitable.
0164	Normal	— Pourquoi dis-tu cela ?
0165	Normal	— Eh bien, parce que cette société repose sur la consommation effrénée. Et pour l’entretenir, il faut séduire les gens et les convaincre d’acheter sans cesse. Dans ce cas, cela me semble un usage non éthique de la séduction, mais c’est ainsi que fonctionne le monde occidental.
0166	Normal	— Très bien, Malik, et quel serait un usage éthiquement correct ?
0167	Normal	— Je crois qu’il faudrait user de la séduction pour amener les gens à accomplir de bonnes actions.
0168	Normal	— Et pour que quelqu’un te remarque, aussi ! dit Yuki, tandis que le rouge lui montait aux joues simultanément. Et pour décrocher un emploi. Si tu ne séduis pas celui qui te fait passer l’entretien d’embauche, tu n’auras aucune chance d’être retenu.
0169	Normal	— Très bien, Malik et Yuki. Pour la prochaine fois, vous devrez préparer un exercice de séduction et le mettre en scène dans cette salle. Vos camarades feront office de jurés et voteront pour décider lequel de vous deux a été le plus séduisant. Mais, auparavant, il y a un aspect de la séduction que vous n’avez pas mentionné.
0170	Normal	— Lequel ? demanda Yuki.
0171	Normal	— Eh bien, vous ne le saviez peut-être pas, mais la séduction comporte une forte composante irrationnelle. Son pouvoir repose sur l’appel puissant à nos sentiments et à nos émotions, à l’inconscient, à l’ensemble des instincts et des désirs que nous ne pouvons éviter. C’est pour cela qu’elle est si efficace. De nombreuses expériences ont démontré que nos décisions ont un fondement irrationnel. Par conséquent, si nous voulons influer sur la conduite d’une personne, nous devrons tenir compte de cet aspect fondamental de la nature humaine. Qu’en pensez-vous ?
0172	Normal	— Je suppose que c’est vrai, mais pourrais-tu donner un exemple ? Ainsi, ce serait plus clair pour nous tous, demanda Malik.
0173	Normal	— Très facile. Toi-même, tu es l’exemple que tu réclames. Bien des filles sont sûrement tombées amoureuses de toi en voyant ces magnifiques yeux verts que tu as. S’ils étaient marron, crois-tu qu’ils seraient tout aussi séduisants ?
0174	Normal	Toute la classe se mit à rire, tandis que Malik tentait d’afficher une mine de fausse humilité.
0175	Normal	— Bon, je crois que c’est désormais clair pour tout le monde. Un autre concept important que vous devez connaître est celui de la « Marque émotionnelle personnelle ». Quelqu’un saurait-il me dire en quoi il consiste ?
0176	Normal	Après la question de Marguerite, un silence s’installa, lorsqu’une jeune fille au visage pâle et aux cheveux blonds leva la main et dit, avec un accent qui trahissait son origine russe :
0177	Normal	— Moi, je connais la réponse.
0178	Normal	— Oui, Anastasia ? dit Marguerite.
0179	Normal	— Une Marque émotionnelle personnelle consiste à développer une empreinte distinctive qui te différencie du reste des gens, selon l’expérience émotionnelle que tu es capable de susciter chez les autres. C’est une forme de communication qui va au-delà des mots et qui se relie directement à l’inconscient de l’autre personne, créant de toi une image unique. C’est pour cette raison qu’elle est l’un des outils de séduction les plus puissants, répondit la jeune étudiante, d’une voix chaude et modulée qui dénotait un calme serein.
0180	Normal	Tous, se laissant porter par la musicalité introspective de sa voix, écoutèrent sa réponse avec une attention pleine et entière.
0181	Normal	— Exact ! Merci, Anastasia. Vous connaissez sûrement tous, dans votre entourage social, une personne qui, par sa simple présence, fait que les choses fonctionnent, que tout s’écoule plus aisément, ou qu’il règne une bonne ambiance dans une équipe de travail. Cette personne possède un charisme aisément perceptible, et reconnaissable par tous. C’est ce que nous appelons la « Marque émotionnelle personnelle », et l’un des objectifs du cours est que chacun d’entre vous développe la sienne, même si, comme vous le verrez, ce n’est pas du tout facile. Pour finir, il y a un autre élément dont vous devez tenir compte au moment d’exercer vos talents de séduction, et c’est…
0182	Normal	Le silence se répéta, mais cette fois il ne fut interrompu par aucune main levée, de sorte que Marguerite poursuivit son exposé.
0183	Normal	— Le mystère, dit-elle. Rien ne suscite plus d’attirance que le mystère et sa grande alliée, la curiosité. Si vous voulez être séduisants, vous devez être capables de créer une auréole de mystère autour de ceux que vous voulez convaincre ou conquérir. Rendez-vous compte que le mystère a été l’élément d’attirance le plus ancien aussi loin que remonte la mémoire humaine, et les grands mythes du passé s’en font l’écho. Songez, par exemple, au mythe de la Genèse, celui d’Adam et Ève, les premiers êtres humains créés par Dieu. Pourquoi ont-ils cédé à la tentation du serpent ? Eh bien, parce qu’ils n’ont pas pu résister à la tentation de connaître quel secret se cachait derrière ce pommier mystérieux, appelé « Arbre de la connaissance du bien et du mal ». Ou songez au cycle des légendes arthuriennes, et au désir d’Arthur d’arracher la mystérieuse épée Excalibur du rocher où elle était prisonnière. Existe-t-il une force d’attirance plus puissante, qui nous pousse à agir, que le mystère ?
0184	Normal	Il n’y eut pas de réponse, mais tout le monde acquiesça d’un signe de tête, comprenant qu’il s’agissait en réalité d’une question rhétorique. Aussi Marguerite déclara-t-elle la classe du jour terminée, donnant rendez-vous à ses élèves pour la semaine suivante, où Yuki et Malik devraient mener à bien leur mise en scène.
0185	Normal	Les jours se succédèrent rapidement et, sans qu’ils s’en aperçoivent, comme si le temps ne s’était pas écoulé, Yuki et Malik se retrouvèrent de nouveau dans la salle de séduction, entourés de dix-huit regards curieux prêts à assister à la petite « performance » qu’ils avaient préparée. La professeure Marguerite avait réorganisé l’espace, plaçant deux chaises au centre avec une petite table, et disposant les autres en demi-cercle autour. Les élèves entraient et prenaient place, la plupart avec des expressions empreintes d’expectative. Quand Marguerite entra, le murmure des conversations s’éteignit peu à peu. La professeure avança jusqu’au centre de la salle d’un pas mesuré et sourit, observant ses élèves.
0186	Normal	— Bonjour à tous. Comme vous vous en souvenez, la semaine dernière nous avons parlé des fondements théoriques de la séduction. Aujourd’hui, nous commencerons par les exercices pratiques, et nos premiers volontaires seront Yuki et Malik, dit-elle en désignant les deux chaises centrales. Approchez-vous, s’il vous plaît.
0187	Normal	Yuki se leva avec des mouvements contrôlés, tâchant de cacher le tremblement de ses mains. Malik, quant à lui, se dirigea vers le centre d’un pas assuré et un sourire détendu.
0188	Normal	— Avant de commencer, poursuivit Marguerite, je veux établir les règles de cet exercice. Chacun de vous disposera de quinze minutes pour tenter de séduire l’autre. L’objectif n’est pas nécessairement romantique : il s’agit d’amener l’autre personne à faire ou à révéler quelque chose qu’elle ne ferait pas, d’ordinaire, devant un inconnu.
